"","logFC","AveExpr","t","PValue","FDR","B","symbol","group"
"hsa-miR-30e-5p",3.75935663673541,12.2294193896312,6.01856558626342,4.39718839368813e-08,6.55322915446424e-07,8.32378401321583,"hsa-miR-30e-5p","miRNA"
"hsa-miR-141-3p",5.67451038168648,10.0606208028952,5.91480394139377,6.87406650329472e-08,9.6998769535695e-07,7.79029681984463,"hsa-miR-141-3p","miRNA"
"hsa-miR-106b-5p",5.02657043493071,8.12251523140416,5.91296685500157,6.92848353826393e-08,9.6998769535695e-07,7.65933271411518,"hsa-miR-106b-5p","miRNA"
"hsa-miR-140-5p",5.5926790552923,5.20953675239658,5.80702797812312,1.09005737523046e-07,1.48119560987198e-06,7.17726715787169,"hsa-miR-140-5p","miRNA"
"hsa-miR-148a-3p",4.99239979236047,15.9322373295253,5.76242535999114,1.31798469441183e-07,1.73615230625167e-06,7.30662953032643,"hsa-miR-148a-3p","miRNA"
"hsa-miR-15a-5p",5.76831767623803,6.97643185224576,5.75628242296139,1.35284595292338e-07,1.73615230625167e-06,6.98708199476597,"hsa-miR-15a-5p","miRNA"
"hsa-miR-192-5p",5.44109877100536,16.0743868661743,5.70891688359698,1.65391666805151e-07,2.06516081253999e-06,7.0930699146251,"hsa-miR-192-5p","miRNA"
"hsa-miR-1180-3p",-5.60842429192247,3.12099191842963,-5.69163196932434,1.77946340653467e-07,2.1634528784711e-06,7.01962912023464,"hsa-miR-1180-3p","miRNA"
"hsa-miR-195-3p",-5.06552818784891,0.534329569311015,-5.67319172589528,1.92374129341274e-07,2.27889353219663e-06,6.91719433786298,"hsa-miR-195-3p","miRNA"
"hsa-miR-378a-5p",-4.50393375173058,6.75574563456138,-5.63680108682263,2.24302882645642e-07,2.55519663975863e-06,6.81040183234202,"hsa-miR-378a-5p","miRNA"
"hsa-miR-142-3p",6.28586570620971,11.034780848788,5.63421571987035,2.26759874956935e-07,2.55519663975863e-06,6.72942767160898,"hsa-miR-142-3p","miRNA"
