"","symbol","group","logFC","AveExpr","t","PValue","FDR","B"
"ENSG00000180525","PRR26","protein_coding",-1.16625390162676,2.79054762199548,-10.195464869828,5.22859660453631e-22,3.59120754737892e-21,38.8388509244425
"ENSG00000121440","PDZRN3","protein_coding",-1.59418365101715,3.56648779868469,-10.1943654567096,5.27646063119111e-22,3.62072682757012e-21,38.7302384583315
"ENSG00000107186","MPDZ","protein_coding",-1.58680543153818,2.09864478522375,-10.1804534491892,5.92106728654824e-22,4.05725706117235e-21,38.7549901671762
"ENSG00000130755","GMFG","protein_coding",-1.15786660150689,2.95868718012322,-10.1804025755459,5.92356246146065e-22,4.05725706117235e-21,38.701596845419
"ENSG00000169946","ZFPM2","protein_coding",-1.83488807978986,0.311763489356991,-10.1794156243219,5.97217611007723e-22,4.08866486390599e-21,38.9401464337056
"ENSG00000138771","SHROOM3","protein_coding",-1.03256454559549,6.92397119619918,-10.176121732156,6.13730664150909e-22,4.19783844210649e-21,38.5536409735938
"ENSG00000163132","MSX1","protein_coding",2.8494906943879,2.02821184309481,10.1755500766778,6.16642324517395e-22,4.21580836438968e-21,39.0369602245749
"ENSG00000111341","MGP","protein_coding",-2.35538361011183,5.04829858938055,-10.1683831712482,6.54331194233432e-22,4.46935343821564e-21,38.4833478174197
"ENSG00000172955","ADH6","protein_coding",-2.06607187272602,2.47375823778458,-10.1651528860235,6.72057830355154e-22,4.58620679628181e-21,38.5569366537672
"ENSG00000111424","VDR","protein_coding",-1.05456401961612,6.65237966418804,-10.1602922373642,6.99633740215e-22,4.76561180949758e-21,38.4179016524797
"ENSG00000198478","SH3BGRL2","protein_coding",-1.11233477962553,6.83102649454373,-10.1540377414982,7.36776168041599e-22,5.01400200308199e-21,38.3720422298898
"ENSG00000214078","CPNE1","protein_coding",1.55874359731044,7.56618940927744,10.1528161004448,7.44256240475867e-22,5.06258191662841e-21,38.3399996193284
"ENSG00000175592","FOSL1","protein_coding",3.45583610488725,3.22635699504572,10.1512530791352,7.53936621566205e-22,5.12137882898913e-21,38.8060277083559
"ENSG00000158402","CDC25C","protein_coding",1.15137030806395,3.15545400067451,10.151289407311,7.53710214670393e-22,5.12137882898913e-21,38.6749236804749
"ENSG00000167513","CDT1","protein_coding",1.41014686858445,5.52262489335521,10.1487227742186,7.69873439994587e-22,5.22723963701318e-21,38.3868317192146
"ENSG00000132465","JCHAIN","protein_coding",-5.25794275193257,7.07500622212355,-10.1479764986357,7.74637320168124e-22,5.25717690454759e-21,38.4468040143845
"ENSG00000166532","RIMKLB","protein_coding",-1.49467420689087,1.63860295595998,-10.147219263824,7.79501075576772e-22,5.28776427560591e-21,38.5561666807115
"ENSG00000163898","LIPH","protein_coding",-1.41866522459241,5.72876914136251,-10.1463202666859,7.85314758277009e-22,5.32476456870166e-21,38.2944821582118
"ENSG00000105281","SLC1A5","protein_coding",1.11937536474747,7.90595819921466,10.1448073597259,7.95195852154235e-22,5.38929717449934e-21,38.2791739845343
"ENSG00000135476","ESPL1","protein_coding",1.16030118901532,4.69064712816668,10.1420953685761,8.13218358356049e-22,5.50892253544487e-21,38.4034718088232
"ENSG00000100055","CYTH4","protein_coding",-1.42759543638448,2.92288519802857,-10.141579820072,8.16690025693181e-22,5.52991300174706e-21,38.3652088301163
"ENSG00000134874","DZIP1","protein_coding",-1.35643566543899,1.70520099580836,-10.1410406828699,8.20336278896554e-22,5.55206590219394e-21,38.5131439192854
"ENSG00000163131","CTSS","protein_coding",-1.1905150715401,7.87376000629497,-10.135809497315,8.56565510703508e-22,5.79462072097097e-21,38.2552591346174
"ENSG00000186638","KIF24","protein_coding",1.00216102705697,2.95452466876069,10.1316778686978,8.86298742359223e-22,5.99029637904624e-21,38.5197622614683
