"","symbol","group","logFC","AveExpr","t","PValue","FDR","B"
"ENSG00000255874","PRECSIT","long_non_coding",1.73131828257793,0.926150013381443,3.10628154744825,0.00268746119101062,0.0105116593377983,-1.82770663687186
"ENSG00000273151","AC073957.3","long_non_coding",1.4674390636033,2.0284626833315,3.06887243685332,0.00300387178161386,0.0114845664129926,-2.04765063654819
"ENSG00000203688","LINC02487","long_non_coding",1.34937291865848,0.710576002870949,3.04741444544376,0.00320067986402612,0.0120686832138209,-1.99221699189858
"ENSG00000224272","AC131097.2","long_non_coding",-1.43174799255267,1.57085710409165,-3.04743482534791,0.00320048738259708,0.0120686832138209,-2.33154769127776
"ENSG00000225855","RUSC1-AS1","long_non_coding",1.2412498063282,1.63378192840587,3.04414493366684,0.00323169906804861,0.0121452856896752,-2.09432224564911
"ENSG00000233930","KRTAP5-AS1","long_non_coding",1.27985949571554,0.238367264363085,3.0437263690016,0.00323569028144089,0.012151772059811,-1.97503399754498
"ENSG00000273619","AL121832.2","long_non_coding",1.39606671970711,0.190923925789084,3.0338989568426,0.00333072638073791,0.0124190406090658,-1.983138595758
"ENSG00000270012","AC232271.1","long_non_coding",1.33703832945359,0.0592884942854222,3.00662188443846,0.00360827037944571,0.0132507016603316,-2.05489780732183
"ENSG00000260196","AC124798.1","long_non_coding",1.17120821506883,2.91071933425031,3.00356598797044,0.00364066666436524,0.0133257980617516,-2.34003940762885
"ENSG00000197989","SNHG12","long_non_coding",1.21634577248505,2.90332160377204,2.98082666213927,0.00389033968280893,0.0140693537826806,-2.39479419908068
"ENSG00000245970","AP003352.1","long_non_coding",1.32021893506089,1.55137692739069,2.97506719818163,0.00395604886806888,0.0142624892965189,-2.25256865349635
"ENSG00000259933","AC009065.2","long_non_coding",1.22256624866855,2.76537384024651,2.93856670210546,0.00439696384697533,0.0155182365256483,-2.48122001393665
"ENSG00000280693","SH3PXD2A-AS1","long_non_coding",2.26754527263639,0.897219607711172,2.92141160055628,0.00461951893388099,0.0161155979060323,-2.2716661088198
"ENSG00000254560","BBOX1-AS1","long_non_coding",3.26063337442997,-0.888511374172744,2.90909866312041,0.00478562279569565,0.0165951701484245,-2.28475958683449
"ENSG00000269821","KCNQ1OT1","long_non_coding",1.63225402318243,1.51684708355936,2.90614048866559,0.00482634241215487,0.016703059619473,-2.40901766212258
"ENSG00000261123","AC009065.5","long_non_coding",1.20280211722403,2.48599537426878,2.90547503265696,0.00483554645332257,0.0167182738302917,-2.53931219873234
"ENSG00000234741","GAS5","long_non_coding",1.02912657365649,6.81919192835537,2.88449949865778,0.00513410110702773,0.017549818701806,-2.96236523851805
